bam	read_counts
IAN_2brad_L3_8_S8_L001_R1_001_AGAC	611063
IAN_2brad_L3_8_S8_L001_R1_001_AGTG	660551
IAN_2brad_L3_8_S8_L001_R1_001_CTAC	1867824
IAN_2brad_L3_8_S8_L001_R1_001_GACT	1290726
IAN_2brad_L3_8_S8_L001_R1_001_GCTT	1796148
IAN_2brad_L3_8_S8_L001_R1_001_GTGA	305098
IAN_2brad_L3_8_S8_L001_R1_001_TCAC	756923
IAN_2brad_L3_8_S8_L001_R1_001_TCAG	1494937
IAN_2brad_L3_8_S8_L001_R1_001_TGGT	855581
IAN_2brad_L3_8_S8_L001_R1_001_TGTC	1843962
IAN_2brad_L4_1_S9_L002_R1_001_ACCA	1483306
IAN_2brad_L4_1_S9_L002_R1_001_AGAC	2495558
IAN_2brad_L4_1_S9_L002_R1_001_CATC	2048994
IAN_2brad_L4_1_S9_L002_R1_001_CTAC	845322
IAN_2brad_L4_1_S9_L002_R1_001_GACT	1731111
IAN_2brad_L4_1_S9_L002_R1_001_GCTT	1699962
IAN_2brad_L4_1_S9_L002_R1_001_GTGA	2471062
IAN_2brad_L4_1_S9_L002_R1_001_TCAC	1315170
IAN_2brad_L4_1_S9_L002_R1_001_TCAG	1707019
IAN_2brad_L4_1_S9_L002_R1_001_TGGT	1349692
IAN_2brad_L4_1_S9_L002_R1_001_TGTC	547336
IAN_2brad_L4_2_S10_L002_R1_001_ACCA	1235803
IAN_2brad_L4_2_S10_L002_R1_001_AGAC	441088
IAN_2brad_L4_2_S10_L002_R1_001_AGTG	995425
IAN_2brad_L4_2_S10_L002_R1_001_CATC	1940472
IAN_2brad_L4_2_S10_L002_R1_001_CTAC	1810732
IAN_2brad_L4_2_S10_L002_R1_001_GACT	1885191
IAN_2brad_L4_2_S10_L002_R1_001_GCTT	2418208
IAN_2brad_L4_2_S10_L002_R1_001_GTGA	1583599
IAN_2brad_L4_2_S10_L002_R1_001_TCAC	2631301
IAN_2brad_L4_2_S10_L002_R1_001_TCAG	3089960
IAN_2brad_L4_2_S10_L002_R1_001_TGGT	2527705
IAN_2brad_L4_2_S10_L002_R1_001_TGTC	1769121
IAN_2brad_L4_3_S11_L002_R1_001_ACCA	2597871
IAN_2brad_L4_3_S11_L002_R1_001_AGAC	2679139
IAN_2brad_L4_3_S11_L002_R1_001_AGTG	1560264
IAN_2brad_L4_3_S11_L002_R1_001_CATC	3001327
IAN_2brad_L4_3_S11_L002_R1_001_CTAC	2181022
IAN_2brad_L4_3_S11_L002_R1_001_GCTT	2037743
IAN_2brad_L4_3_S11_L002_R1_001_TCAC	2578831
IAN_2brad_L4_3_S11_L002_R1_001_TCAG	3556784
IAN_2brad_L4_3_S11_L002_R1_001_TGGT	1833656
IAN_2brad_L4_3_S11_L002_R1_001_TGTC	2849496
IAN_2brad_L4_4_S12_L002_R1_001_ACCA	1237528
IAN_2brad_L4_4_S12_L002_R1_001_AGAC	1912635
IAN_2brad_L4_4_S12_L002_R1_001_AGTG	1397460
IAN_2brad_L4_4_S12_L002_R1_001_CATC	1051729
IAN_2brad_L4_4_S12_L002_R1_001_CTAC	1900380
IAN_2brad_L4_4_S12_L002_R1_001_GACT	2241023
IAN_2brad_L4_4_S12_L002_R1_001_GCTT	2561875
IAN_2brad_L4_4_S12_L002_R1_001_TCAC	2883208
IAN_2brad_L4_4_S12_L002_R1_001_TCAG	1195816
IAN_2brad_L4_4_S12_L002_R1_001_TGTC	1743308
